source_label_id,source_label_name,source_description,annotation_provenance
33,vertebrae_T11,TotalSegmentator total task structure vertebrae_T11,EXPERT_VALIDATED_NNUNET
34,vertebrae_T10,TotalSegmentator total task structure vertebrae_T10,EXPERT_VALIDATED_NNUNET
35,vertebrae_T9,TotalSegmentator total task structure vertebrae_T9,EXPERT_VALIDATED_NNUNET
36,vertebrae_T8,TotalSegmentator total task structure vertebrae_T8,EXPERT_VALIDATED_NNUNET
37,vertebrae_T7,TotalSegmentator total task structure vertebrae_T7,EXPERT_VALIDATED_NNUNET
38,vertebrae_T6,TotalSegmentator total task structure vertebrae_T6,EXPERT_VALIDATED_NNUNET
39,vertebrae_T5,TotalSegmentator total task structure vertebrae_T5,EXPERT_VALIDATED_NNUNET
40,vertebrae_T4,TotalSegmentator total task structure vertebrae_T4,EXPERT_VALIDATED_NNUNET
41,vertebrae_T3,TotalSegmentator total task structure vertebrae_T3,EXPERT_VALIDATED_NNUNET
42,vertebrae_T2,TotalSegmentator total task structure vertebrae_T2,EXPERT_VALIDATED_NNUNET
43,vertebrae_T1,TotalSegmentator total task structure vertebrae_T1,EXPERT_VALIDATED_NNUNET
44,vertebrae_C7,TotalSegmentator total task structure vertebrae_C7,EXPERT_VALIDATED_NNUNET
45,vertebrae_C6,TotalSegmentator total task structure vertebrae_C6,EXPERT_VALIDATED_NNUNET
46,vertebrae_C5,TotalSegmentator total task structure vertebrae_C5,EXPERT_VALIDATED_NNUNET
47,vertebrae_C4,TotalSegmentator total task structure vertebrae_C4,EXPERT_VALIDATED_NNUNET
48,vertebrae_C3,TotalSegmentator total task structure vertebrae_C3,EXPERT_VALIDATED_NNUNET
49,vertebrae_C2,TotalSegmentator total task structure vertebrae_C2,EXPERT_VALIDATED_NNUNET
50,vertebrae_C1,TotalSegmentator total task structure vertebrae_C1,EXPERT_VALIDATED_NNUNET
51,heart,TotalSegmentator total task structure heart,EXPERT_VALIDATED_NNUNET
52,aorta,TotalSegmentator total task structure aorta,EXPERT_VALIDATED_NNUNET
53,pulmonary_vein,TotalSegmentator total task structure pulmonary_vein,EXPERT_VALIDATED_NNUNET
54,brachiocephalic_trunk,TotalSegmentator total task structure brachiocephalic_trunk,EXPERT_VALIDATED_NNUNET
55,subclavian_artery_right,TotalSegmentator total task structure subclavian_artery_right,EXPERT_VALIDATED_NNUNET
56,subclavian_artery_left,TotalSegmentator total task structure subclavian_artery_left,EXPERT_VALIDATED_NNUNET
57,common_carotid_artery_right,TotalSegmentator total task structure common_carotid_artery_right,EXPERT_VALIDATED_NNUNET
58,common_carotid_artery_left,TotalSegmentator total task structure common_carotid_artery_left,EXPERT_VALIDATED_NNUNET
59,brachiocephalic_vein_left,TotalSegmentator total task structure brachiocephalic_vein_left,EXPERT_VALIDATED_NNUNET
60,brachiocephalic_vein_right,TotalSegmentator total task structure brachiocephalic_vein_right,EXPERT_VALIDATED_NNUNET
61,atrial_appendage_left,TotalSegmentator total task structure atrial_appendage_left,EXPERT_VALIDATED_NNUNET
62,superior_vena_cava,TotalSegmentator total task structure superior_vena_cava,EXPERT_VALIDATED_NNUNET
63,inferior_vena_cava,TotalSegmentator total task structure inferior_vena_cava,EXPERT_VALIDATED_NNUNET
64,portal_vein_and_splenic_vein,TotalSegmentator total task structure portal_vein_and_splenic_vein,EXPERT_VALIDATED_NNUNET
65,iliac_artery_left,TotalSegmentator total task structure iliac_artery_left,EXPERT_VALIDATED_NNUNET
66,iliac_artery_right,TotalSegmentator total task structure iliac_artery_right,EXPERT_VALIDATED_NNUNET
67,iliac_vena_left,TotalSegmentator total task structure iliac_vena_left,EXPERT_VALIDATED_NNUNET
68,iliac_vena_right,TotalSegmentator total task structure iliac_vena_right,EXPERT_VALIDATED_NNUNET
69,humerus_left,TotalSegmentator total task structure humerus_left,EXPERT_VALIDATED_NNUNET
70,humerus_right,TotalSegmentator total task structure humerus_right,EXPERT_VALIDATED_NNUNET
71,scapula_left,TotalSegmentator total task structure scapula_left,EXPERT_VALIDATED_NNUNET
72,scapula_right,TotalSegmentator total task structure scapula_right,EXPERT_VALIDATED_NNUNET
73,clavicula_left,TotalSegmentator total task structure clavicula_left,EXPERT_VALIDATED_NNUNET
74,clavicula_right,TotalSegmentator total task structure clavicula_right,EXPERT_VALIDATED_NNUNET
75,femur_left,TotalSegmentator total task structure femur_left,EXPERT_VALIDATED_NNUNET
76,femur_right,TotalSegmentator total task structure femur_right,EXPERT_VALIDATED_NNUNET
77,hip_left,TotalSegmentator total task structure hip_left,EXPERT_VALIDATED_NNUNET
78,hip_right,TotalSegmentator total task structure hip_right,EXPERT_VALIDATED_NNUNET
79,spinal_cord,TotalSegmentator total task structure spinal_cord,EXPERT_VALIDATED_NNUNET
80,gluteus_maximus_left,TotalSegmentator total task structure gluteus_maximus_left,EXPERT_VALIDATED_NNUNET
81,gluteus_maximus_right,TotalSegmentator total task structure gluteus_maximus_right,EXPERT_VALIDATED_NNUNET
82,gluteus_medius_left,TotalSegmentator total task structure gluteus_medius_left,EXPERT_VALIDATED_NNUNET
83,gluteus_medius_right,TotalSegmentator total task structure gluteus_medius_right,EXPERT_VALIDATED_NNUNET
84,gluteus_minimus_left,TotalSegmentator total task structure gluteus_minimus_left,EXPERT_VALIDATED_NNUNET
85,gluteus_minimus_right,TotalSegmentator total task structure gluteus_minimus_right,EXPERT_VALIDATED_NNUNET
86,autochthon_left,TotalSegmentator total task structure autochthon_left,EXPERT_VALIDATED_NNUNET
87,autochthon_right,TotalSegmentator total task structure autochthon_right,EXPERT_VALIDATED_NNUNET
88,iliopsoas_left,TotalSegmentator total task structure iliopsoas_left,EXPERT_VALIDATED_NNUNET
89,iliopsoas_right,TotalSegmentator total task structure iliopsoas_right,EXPERT_VALIDATED_NNUNET
90,brain,TotalSegmentator total task structure brain,EXPERT_VALIDATED_NNUNET
91,skull,TotalSegmentator total task structure skull,EXPERT_VALIDATED_NNUNET
92,rib_left_1,TotalSegmentator total task structure rib_left_1,EXPERT_VALIDATED_NNUNET
93,rib_left_2,TotalSegmentator total task structure rib_left_2,EXPERT_VALIDATED_NNUNET
94,rib_left_3,TotalSegmentator total task structure rib_left_3,EXPERT_VALIDATED_NNUNET
95,rib_left_4,TotalSegmentator total task structure rib_left_4,EXPERT_VALIDATED_NNUNET
96,rib_left_5,TotalSegmentator total task structure rib_left_5,EXPERT_VALIDATED_NNUNET
97,rib_left_6,TotalSegmentator total task structure rib_left_6,EXPERT_VALIDATED_NNUNET
98,rib_left_7,TotalSegmentator total task structure rib_left_7,EXPERT_VALIDATED_NNUNET
99,rib_left_8,TotalSegmentator total task structure rib_left_8,EXPERT_VALIDATED_NNUNET
100,rib_left_9,TotalSegmentator total task structure rib_left_9,EXPERT_VALIDATED_NNUNET
101,rib_left_10,TotalSegmentator total task structure rib_left_10,EXPERT_VALIDATED_NNUNET
102,rib_left_11,TotalSegmentator total task structure rib_left_11,EXPERT_VALIDATED_NNUNET
103,rib_left_12,TotalSegmentator total task structure rib_left_12,EXPERT_VALIDATED_NNUNET
104,rib_right_1,TotalSegmentator total task structure rib_right_1,EXPERT_VALIDATED_NNUNET
105,rib_right_2,TotalSegmentator total task structure rib_right_2,EXPERT_VALIDATED_NNUNET
106,rib_right_3,TotalSegmentator total task structure rib_right_3,EXPERT_VALIDATED_NNUNET
107,rib_right_4,TotalSegmentator total task structure rib_right_4,EXPERT_VALIDATED_NNUNET
108,rib_right_5,TotalSegmentator total task structure rib_right_5,EXPERT_VALIDATED_NNUNET
109,rib_right_6,TotalSegmentator total task structure rib_right_6,EXPERT_VALIDATED_NNUNET
110,rib_right_7,TotalSegmentator total task structure rib_right_7,EXPERT_VALIDATED_NNUNET
111,rib_right_8,TotalSegmentator total task structure rib_right_8,EXPERT_VALIDATED_NNUNET
112,rib_right_9,TotalSegmentator total task structure rib_right_9,EXPERT_VALIDATED_NNUNET
113,rib_right_10,TotalSegmentator total task structure rib_right_10,EXPERT_VALIDATED_NNUNET
114,rib_right_11,TotalSegmentator total task structure rib_right_11,EXPERT_VALIDATED_NNUNET
115,rib_right_12,TotalSegmentator total task structure rib_right_12,EXPERT_VALIDATED_NNUNET
116,sternum,TotalSegmentator total task structure sternum,EXPERT_VALIDATED_NNUNET
117,costal_cartilages,TotalSegmentator total task structure costal_cartilages,EXPERT_VALIDATED_NNUNET
