target_index,target_name,train_support,validation_support,test_support,v2_support,totalsegmentator_support,benchmark_primary,reason_included_or_excluded
52,pulmonary_vein,813,100,104,247,770,True,INCLUDED
53,brachiocephalic_trunk,677,75,89,110,731,True,INCLUDED
54,subclavian_artery_right,674,74,91,110,729,True,INCLUDED
55,subclavian_artery_left,691,77,93,110,751,True,INCLUDED
56,common_carotid_artery_right,670,72,88,110,720,True,INCLUDED
57,common_carotid_artery_left,693,77,93,110,753,True,INCLUDED
58,brachiocephalic_vein_left,674,73,92,110,729,False,NOT_PRIMARY_ONTOLOGY
59,brachiocephalic_vein_right,679,74,92,110,735,True,INCLUDED
60,atrial_appendage_left,659,78,82,151,668,True,INCLUDED
61,superior_vena_cava,748,87,93,160,768,True,INCLUDED
62,inferior_vena_cava,1124,146,145,439,976,True,INCLUDED
63,portal_vein_and_splenic_vein,992,134,130,435,821,True,INCLUDED
64,iliac_artery_left,837,109,110,422,634,True,INCLUDED
65,iliac_artery_right,834,110,109,422,631,True,INCLUDED
66,iliac_vena_left,834,107,110,422,629,True,INCLUDED
67,iliac_vena_right,828,109,108,422,623,True,INCLUDED
68,humerus_left,582,64,76,112,610,True,INCLUDED
69,humerus_right,590,62,76,113,615,True,INCLUDED
70,scapula_left,831,98,107,232,804,True,INCLUDED
71,scapula_right,813,92,103,228,780,True,INCLUDED
72,clavicula_left,673,74,88,111,724,True,INCLUDED
73,clavicula_right,669,73,89,111,720,True,INCLUDED
74,femur_left,771,100,103,411,563,True,INCLUDED
75,femur_right,764,100,102,413,553,True,INCLUDED
76,hip_left,845,109,110,423,641,True,INCLUDED
77,hip_right,840,111,109,423,637,True,INCLUDED
78,spinal_cord,1297,162,163,440,1182,True,INCLUDED
79,gluteus_maximus_left,800,104,106,418,592,True,INCLUDED
80,gluteus_maximus_right,800,103,106,419,590,True,INCLUDED
81,gluteus_medius_left,827,106,110,422,621,True,INCLUDED
82,gluteus_medius_right,820,108,108,423,613,True,INCLUDED
83,gluteus_minimus_left,787,101,105,416,577,True,INCLUDED
84,gluteus_minimus_right,777,101,104,415,567,True,INCLUDED
85,autochthon_left,1256,157,158,440,1131,True,INCLUDED
86,autochthon_right,1256,157,158,440,1131,True,INCLUDED
87,iliopsoas_left,1000,126,132,435,823,True,INCLUDED
88,iliopsoas_right,1007,126,131,436,828,True,INCLUDED
89,brain,193,25,28,2,244,True,INCLUDED
90,skull,375,40,50,21,444,True,INCLUDED
91,rib_left_1,684,75,90,110,739,True,INCLUDED
92,rib_left_2,695,76,92,111,752,True,INCLUDED
93,rib_left_3,714,80,93,120,767,False,NOT_PRIMARY_ONTOLOGY
94,rib_left_4,815,97,107,218,801,False,NOT_PRIMARY_ONTOLOGY
95,rib_left_5,963,113,120,342,854,True,INCLUDED
96,rib_left_6,1058,131,129,418,900,True,INCLUDED
97,rib_left_7,1054,136,131,437,884,True,INCLUDED
98,rib_left_8,1052,138,135,439,886,True,INCLUDED
99,rib_left_9,1056,137,135,439,889,True,INCLUDED
100,rib_left_10,1040,139,136,438,877,True,INCLUDED
101,rib_left_11,1025,135,131,438,853,True,INCLUDED
102,rib_left_12,952,132,126,434,776,True,INCLUDED
103,rib_right_1,685,72,90,110,737,True,INCLUDED
104,rib_right_2,690,74,91,110,745,True,INCLUDED
105,rib_right_3,712,77,92,124,757,True,INCLUDED
106,rib_right_4,797,93,104,217,777,True,INCLUDED
107,rib_right_5,935,109,116,334,826,True,INCLUDED
108,rib_right_6,1029,124,126,416,863,True,INCLUDED
109,rib_right_7,1029,129,129,438,849,True,INCLUDED
110,rib_right_8,1028,134,132,438,856,True,INCLUDED
111,rib_right_9,1031,134,133,438,860,True,INCLUDED
112,rib_right_10,1028,135,134,438,859,True,INCLUDED
113,rib_right_11,1029,137,132,438,860,True,INCLUDED
114,rib_right_12,950,131,124,436,769,True,INCLUDED
115,sternum,1054,128,133,367,948,True,INCLUDED
116,costal_cartilages,1153,150,150,439,1014,True,INCLUDED
